cloud_optical_thickness,cloud_mask_fraction,latitude_left,longitude_left,year_left,month_left,day_left,date_left,geometry,index_right,Unnamed_ 0,weibo_text,year_right,month_right,day_right,prov,city,county,area,location,coordinate,coordina_1,address,formatted_,first_oper,longitude_right,latitude_right,date_right
15.09851469581288,1.0,26.5,105.5,2015.0,4.0,26.0,2015-04-26,POINT (105.5 26.5),1260,4871,"【贵阳昨日迎今春首场暴雨 人工增雨作业缓旱情】4月26日夜间开始,受冷空气和南支槽持续影响,贵阳市出现今春以来首场暴雨天气过程,暴雨区域主要出现在市中部以北的乌当区北部、修文县、",2015,4,26,贵州省,毕节市,乌当区,乌当区北部、修文县、开阳县和息烽县,贵州省 毕节市修文县,"105.435920,26.510148",村庄,毕节市修文县,贵州省毕节市织金县修文县村,2015-04-26,105.43592,26.510148,2015-04-26
64.5735484150094,0.9986934667855651,35.5,119.5,2015.0,9.0,30.0,2015-09-30,POINT (119.5 35.5),2200,7623,五莲县气象局9月30日8时发布人影作业公告：今天上午县气象局将在全县范围内流动实施人工增雨作业，请作业点附近群众注意安全。 ​,2015,9,30,山东省,日照市,五莲县,,山东省日照市高新技术产业开发区,"119.492594,35.464692",住宅区,日照市高新技术产业开发区,山东省日照市东港区高新技术产业开发区,2015-09-30,119.492594,35.464692,2015-09-30
25.01101866410329,1.0,32.5,117.5,2016.0,8.0,26.0,2016-08-26,POINT (117.5 32.5),1364,5254,#定远身边事# 【定远气象局8月26日开展人工影响天气作业公告】为了了缓解部分地区已出现的旱情，增加水资源储蓄，定远县气象局决定于2016年8月26日在定城镇、张桥镇、朱湾镇作业点择机开,2016,8,26,安徽省,滁州市,定远县,定城镇、张桥镇、朱湾镇,安徽省 滁州市朱湾镇,"117.470005,32.469052",乡镇,滁州市朱湾镇,安徽省滁州市定远县朱湾镇,2016-08-26,117.470005,32.469052,2016-08-26
30.0721193728447,1.0,30.5,104.5,2016.0,11.0,21.0,2016-11-21,POINT (104.5 30.5),341,969,【成都借寒潮轰雨洗天 今日小雪气温明显下降】今日，二十四节气迎来小雪，意味着广大地区气温会下降，而一股强冷空气已从北方袭来。借助这样的“天时”，成都12台碘化银地面发生器、16,2016,11,21,四川省,成都市,,成都12台碘化银地面发生器、16个高炮和火箭作业点。,四川省 成都市火箭作业点,"104.455546,30.537169",村庄,成都市火箭作业点,四川省成都市简阳市火箭村,2016-11-21,104.455546,30.537169,2016-11-21
31.79216756309028,0.9843659018032764,32.5,118.5,2017.0,8.0,1.0,2017-08-01,POINT (118.5 32.5),2040,7206,#热点关注#【昨天，我市这几个地方人工降雨】8月1日11-16时，滁州市气象部门先后开展人工增雨作业9次。分别为琅琊区城郊（2次）、来安县舜山镇（2次）、定远县池河镇（2次）、明光市涧溪,2017,8,1,安徽省,滁州市,明光市,琅琊区城郊、来安县舜山镇、定远县池河镇、明光市涧溪镇、凤阳县总铺镇、天长市新街镇,安徽省来安县舜山镇,"118.441856,32.536382",乡镇,来安县舜山镇,安徽省滁州市来安县舜山镇,2017-08-01,118.441856,32.536382,2017-08-01
6.057999889055888,0.4800778110493482,34.5,112.5,2019.0,1.0,9.0,2019-01-09,POINT (112.5 34.5),2507,8555,#洛阳身边事#【洛阳实施人工增雪 已发射16枚人工影响天气火箭弹】昨天夜晚到今晨，在自然降雪和人工增雪的共同作用下，我市普降小到中雪，部分地区中到大雪，有效改善了我市的空气质量,2019,1,9,河南省,洛阳市,,29个人工影响天气作业点,河南省洛阳市龙门石窟景区,"112.480894,34.544914",兴趣点,洛阳市龙门石窟景区,河南省洛阳市洛龙区龙门石窟景区(南门),2019-01-09,112.480894,34.544914,2019-01-09
52.72808929409567,0.99931428534644,34.5,114.5,2018.0,5.0,11.0,2018-05-11,POINT (114.5 34.5),508,1597,#开封身边事# 【厉害了！开封今日凌晨连发52枚火箭弹，人工增雨灭飞絮】这些天，全市的大街小巷到处飘扬着如雪花般的杨柳飞絮，一不小心就会钻进人的眼睛、鼻子、嘴巴和衣服等部位，令,2018,5,11,河南省,开封市,杞县,开封市的四个作业点分别为：城乡一体化示范区杏花营镇、尉氏县张市镇、通许县冯庄乡、杞县城关镇。,河南省 开封市通许县冯庄乡,"114.469171,34.535570",乡镇,开封市通许县冯庄乡,河南省开封市通许县冯庄乡,2018-05-11,114.469171,34.53557,2018-05-11
23.13803921714961,0.9859637544172796,25.5,118.5,2018.0,8.0,14.0,2018-08-14,POINT (118.5 25.5),2561,9264,@福建新闻广播fm1036 @紫衫雾影#莆田即将开启人工增雨作业，市民们请注意！#莆田市人民政府防汛抗旱指挥部人工影响天气办公室拟定于2018年8月14日至16日在仙游县钟山镇和西苑乡、城厢区常太,2018,8,14,福建省,莆田市,荔城区,仙游县钟山镇和西苑乡、城厢区常太镇、荔城区西天尾镇,福建省莆田市仙游县钟山镇和西苑乡,"118.580341,25.483398",乡镇,莆田市仙游县钟山镇和西苑乡,福建省莆田市仙游县钟山镇西苑乡,2018-08-14,118.580341,25.483398,2018-08-14
20.38322711337811,0.6150570265070567,29.5,113.5,2018.0,8.0,3.0,2018-08-03,POINT (113.5 29.5),461,1470,【市气象局：人工增雨　缓解旱情】8月3日中午，我市中心城区及部分县市区出现热对流云层，适合人工增雨，市气象局人工影响天气办公室迅速出动人工增雨车辆赶赴作业点，在取得空中管制,2018,8,3,湖南省,岳阳市,西湖区,湖滨风雨山,湖南省 岳阳市长安街道,"113.427490,29.487240",乡镇,岳阳市长安街道,湖南省岳阳市临湘市长安街道,2018-08-03,113.42749,29.48724,2018-08-03
8.018888693983836,0.9391780733245693,25.5,118.5,2018.0,9.0,5.0,2018-09-05,POINT (118.5 25.5),2089,7289,#仙游身边事# 【仙游人注意了！明天又要发射火箭弹啦！听到爆炸声请立即隐蔽】莆田市人民政府防汛抗旱指挥部人工影响天气办公室拟定于2018年9月5日至6日在仙游县钟山镇和西苑乡、城厢区,2018,9,5,福建省,莆田市,仙游县,"钟山镇, 西苑乡, 城厢区常太镇, 荔城区西天尾镇",福建省 莆田市西苑乡,"118.580341,25.483398",乡镇,莆田市西苑乡,福建省莆田市仙游县西苑乡,2018-08-14,118.580341,25.483398,2018-09-05
