微博链接,页码,微博id,用户昵称,发布时间,转发数,评论数,点赞数,微博内容,图片链接,网页链接
https://weibo.com/2296975054/L8Iwx3uLX?refer_flag=1001030103_,1,4720777770833277,汕头天气,2022年01月01日 10:36,0,2,2,【汕头市人工增雨作业公告】为充分发挥人工影响天气抗旱减灾防灾和生态保护等作用，经汕头市人民政府批准同意，汕头市气象局将于2022年01月01日至06月30日视作业天气和空域安全情况组织开展人工影响天气作业。作业地点为：潮南区、南澳县行政区域。人工增雨作业具有一定危险性，作业现场安全警戒范围禁止群众围观，若群众发现有落地未燃烧火箭弹或弹骸，请立即通知当地气象部门或公安部门。汕头市气象局2022年01月01日发布 收起d,https://wx1.sinaimg.cn/orj360/88e90ecegy1gxxyxz7kzcj20u018zai2.jpg,无网页链接
https://weibo.com/2160183645/L8IgqhB9t?refer_flag=1001030103_,1,4720767784194391,玉林气象,2022年01月01日 09:56,1,0,0,人工影响天气作业公告（2022第1号）为切实做好当前我市气象服务工作，改善江河水质和空气质量、降低森林火险气象等级、增加水库蓄水，充分发挥人工影响天气的防灾减灾作用，按照自治区气象局和市政府工作部署要求，我局全年在福绵江口水库、北流大容山水库、兴业新荣水库、北流六行村、容县龟河水库、陆川陆透村、博白冷水水库、博白松旺镇射广嶂所在地域适时开展火箭人工增雨工作；在大容山综合场、六万林场莲花山和博白云飞嶂冲天蜡烛所在地域适时开展地面焰条播撒系统作业。作业中可能出现不能正常运行的故障火箭弹，如作业区群众发现落地的故障火箭弹，请告知我局，不要擅自处理，以免出现意外，正常工作的火箭弹残骸随降落伞一起落地，已无危害。火箭弹长145厘米，直径8厘米，弹身写有“WR-98型增雨防雹火箭弹”字样；增雨防雹火箭弹弹壳长110厘米。联系电话：0775-2682488特此公告。                                                                                    玉林市气象局                                                                                    2022年1月1日 收起d,https://wx3.sinaimg.cn/thumb150/80c1c95dgy1gxxxijekvvj21jk10o4qq.jpg,无网页链接
https://weibo.com/1831182371/L93k7DIEj?refer_flag=1001030103_,1,4721577319466427,蓝色河畔,2022年01月03日 15:33,1,0,0,汕头将进行人工增雨！又要经历湿冷天气？ L蓝色河畔的微博视频 ​,无图片,无网页链接
https://weibo.com/2218345744/L91NVxtaW?refer_flag=1001030103_,1,4721518917976978,宿迁气象,2022年01月03日 11:41,0,0,0,【人工增雨作业公告】 ​,https://wx1.sinaimg.cn/orj360/84394510gy1gy0c2gjljsj20he0bk758.jpg,无网页链接
https://weibo.com/7295195251/L90xFh5Fa?refer_flag=1001030103_,1,4721470394073348,趣闻中心,2022年01月03日 08:28,0,0,0,小伙子上交个“大家伙”经民警检查，竟是一枚已经燃烧的人工增雨防雹火箭，不会爆炸也不具备杀伤力  #搞笑不寻常# L趣闻中心的微博视频 ​,无图片,无网页链接
https://weibo.com/3483578150/L9fTjDs4X?refer_flag=1001030103_,1,4722060419402731,连云港日报,2022年01月04日 23:33,0,0,3,【#连云港今夜至明晨开展人工增雨作业#】为改善土壤墒情，降低森林火险气象等级。市人工影响天气办公室1月4日22时至5日05时将在东辛农场（34°33′4″、119°20′22″）、赣榆抗日山（34°53′25″，118°50′54″）、东海桃林镇（34°30′48″，118°26′40″）和灌云南岗镇（34°17′52″，119°04′47″）择机开展人工增雨作业。作业点半径10公里内的区域为作业安全影响范围。特此公告2022年1月4日16时连云港市气象灾害防御领导小组办公室#江苏2022年第一场雪要来了##2022年江苏第一场雨即将发货# 收起d,https://wx2.sinaimg.cn/orj360/cfa32f26ly1gy2291jx10j20qo0fjt9r.jpg,无网页链接
https://weibo.com/3483578150/L9fSLo2La?refer_flag=1001030103_,1,4722060075730484,连云港日报,2022年01月04日 23:31,0,1,0,【#连云港#人工增雨作业公告】为改善土壤墒情，降低森林火险气象等级。市人工影响天气办公室1月4日22时至5日05时将在东辛农场（34°33′4″、119°20′22″）、赣榆抗日山（34°53′25″，118°50′54″）、东海桃林镇（34°30′48″，118°26′40″）和灌云南岗镇（34°17′52″，119°04′47″）择机开展人工增雨作业。作业点半径10公里内的区域为作业安全影响范围。特此公告2022年1月4日16时连云港市气象灾害防御领导小组办公室#江苏2022年第一场雪要来了##本周江苏天气将迎雨雪雾大礼包# 收起d,https://wx3.sinaimg.cn/orj360/cfa32f26ly1gy227y0n3oj20qo0fjt9r.jpg,无网页链接
https://weibo.com/3380541084/L9euFAK9o?refer_flag=1001030103_,1,4722006698757214,蚌埠日报,2022年01月04日 19:59,0,0,0,#蚌埠本地# 记者从市防汛抗旱指挥部办公室获悉，当前，市县气象局正积极利用本次降雨契机，开展人工增雨作业，缓解旱情。蚌埠日报融媒体记者 杨露露 L蚌埠日报的微博视频 ​,无图片,无网页链接
https://weibo.com/5127914121/L9dOY2yCJ?refer_flag=1001030103_,1,4721980840609753,富阳发布,2022年01月04日 18:17,0,0,0,【明天起，富阳将实施人工增雨作业！】刚刚，公告来了！富阳将实施人工增雨作业。 ​,https://wx2.sinaimg.cn/orj360/005B2cIhly8gy1t4cmrzrj30cd0u1jtx.jpg,无网页链接
https://weibo.com/5607818360/L9dyv71Rl?refer_flag=1001030103_,1,4721970631675447,平安师灵,2022年01月04日 17:36,0,0,0,根据最新预报结果，2022年1月4日西平县境内将有降水天气过程，为做好生态文明服务工作、增加土壤墒情、消除空气污染物、降低森林火险等级、改善空气质量，根据市人影办指示要求，西平县人工影响天气领导小组研究决定：2022年1月4日在我县柏城、二郎、老王坡炮点实施人工增雨作业。请居民不要近距离围观，发现不明降落物体请不要自行处理，立即报告西平县人工影响天气领导小组办公室。特此公告！ 2驻马店·西平 收起d,https://wx3.sinaimg.cn/orj360/0067vPJely1gy1ry33mflj30u017ugrv.jpg,无网页链接
